,fromlong,fromlat,tolong,tolat
392,40.75006,-73.9914,40.7502,-73.99137
393,40.75111,-73.99412,40.75123,-73.99407
394,40.75106,-73.99417,40.75109,-73.99414
395,40.74985,-73.99143,40.75014,-73.99137
396,40.75116,-73.99411,40.7512,-73.99403
397,40.74977,-73.9915,40.74995,-73.99149
398,40.7511,-73.99404,40.75136,-73.99403
399,40.7219,-74.00415,40.7219,-74.00415
400,40.77405,-73.87288,40.77412,-73.87286
401,40.7451,-73.99855,40.7451,-73.99855
402,40.74993,-73.99137,40.75019,-73.99136
403,40.77402,-73.87306,40.77404,-73.873
404,40.74996,-73.99154,40.75004,-73.99141
405,40.77901,-73.96234,40.77909,-73.96234
406,40.75113,-73.99414,40.7512,-73.994
407,40.75107,-73.99418,40.75112,-73.99424
408,40.76992,-73.86354,40.76998,-73.86322
409,40.74082,-74.0076,40.7409,-74.00762
410,40.74977,-73.99127,40.74988,-73.99169
411,40.75098,-73.9942,40.75106,-73.9942
412,40.75008,-73.9916,40.75012,-73.9915
413,40.77914,-73.96222,40.77928,-73.96218
414,40.76054,-74.00276,40.76057,-74.0028
415,40.76049,-74.00285,40.76052,-74.00286
416,40.75111,-73.99416,40.7512,-73.99416
417,40.74026,-74.00588,40.74031,-74.00579
